country,continent,year,life_expectancy,population_millions,gdp_per_capita
Afghanistan,Asia,1952,28.801,8.425333,779.4453145
Afghanistan,Asia,1957,30.332,9.240934,820.8530296
Afghanistan,Asia,1962,31.997,10.267083,853.10071
Afghanistan,Asia,1967,34.02,11.537966,836.1971382
Afghanistan,Asia,1972,36.088,13.07946,739.9811058
Afghanistan,Asia,1977,38.438,14.880372,786.11336
Afghanistan,Asia,1982,39.854,12.881816,978.0114388
Afghanistan,Asia,1987,40.822,13.867957,852.3959448
Afghanistan,Asia,1992,41.674,16.317921,649.3413952
Afghanistan,Asia,1997,41.763,22.227415,635.341351
Afghanistan,Asia,2002,42.129,25.268405,726.7340548
Afghanistan,Asia,2007,43.828,31.889923,974.5803384
Albania,Europe,1952,55.23,1.282697,1601.056136
Albania,Europe,1957,59.28,1.476505,1942.284244
Albania,Europe,1962,64.82,1.728137,2312.888958
Albania,Europe,1967,66.22,1.98406,2760.196931
Albania,Europe,1972,67.69,2.263554,3313.422188
Albania,Europe,1977,68.93,2.509048,3533.00391
Albania,Europe,1982,70.42,2.780097,3630.880722
Albania,Europe,1987,72.0,3.075321,3738.932735
Albania,Europe,1992,71.581,3.326498,2497.437901
Albania,Europe,1997,72.95,3.428038,3193.054604
Albania,Europe,2002,75.651,3.508512,4604.211737
Albania,Europe,2007,76.423,3.600523,5937.029526
Algeria,Africa,1952,43.077,9.279525,2449.008185
Algeria,Africa,1957,45.685,10.270856,3013.976023
Algeria,Africa,1962,48.303,11.000948,2550.81688
Algeria,Africa,1967,51.407,12.760499,3246.991771
Algeria,Africa,1972,54.518,14.760787,4182.663766
Algeria,Africa,1977,58.014,17.152804,4910.416756
Algeria,Africa,1982,61.368,20.033753,5745.160213
Algeria,Africa,1987,65.799,23.254956,5681.358539
Algeria,Africa,1992,67.744,26.298373,5023.216647
Algeria,Africa,1997,69.152,29.072015,4797.295051
Algeria,Africa,2002,70.994,31.287142,5288.040382
Algeria,Africa,2007,72.301,33.333216,6223.367465
Angola,Africa,1952,30.015,4.232095,3520.610273
Angola,Africa,1957,31.999,4.561361,3827.940465
Angola,Africa,1962,34.0,4.826015,4269.276742
Angola,Africa,1967,35.985,5.247469,5522.776375
Angola,Africa,1972,37.928,5.894858,5473.288005
Angola,Africa,1977,39.483,6.162675,3008.647355
Angola,Africa,1982,39.942,7.016384,2756.953672
Angola,Africa,1987,39.906,7.87423,2430.208311
Angola,Africa,1992,40.647,8.735988,2627.845685
Angola,Africa,1997,40.963,9.875024,2277.140884
Angola,Africa,2002,41.003,10.866106,2773.287312
Angola,Africa,2007,42.731,12.420476,4797.231267
Argentina,Americas,1952,62.485,17.876956,5911.315053
Argentina,Americas,1957,64.399,19.610538,6856.856212
Argentina,Americas,1962,65.142,21.283783,7133.166023
Argentina,Americas,1967,65.634,22.934225,8052.953021
Argentina,Americas,1972,67.065,24.779799,9443.038526
Argentina,Americas,1977,68.481,26.983828,10079.02674
Argentina,Americas,1982,69.942,29.341374,8997.897412
Argentina,Americas,1987,70.774,31.620918,9139.671389
Argentina,Americas,1992,71.868,33.958947,9308.41871
Argentina,Americas,1997,73.275,36.203463,10967.28195
Argentina,Americas,2002,74.34,38.331121,8797.640716
Argentina,Americas,2007,75.32,40.301927,12779.37964
Australia,Oceania,1952,69.12,8.691212,10039.59564
Australia,Oceania,1957,70.33,9.712569,10949.64959
Australia,Oceania,1962,70.93,10.794968,12217.22686
Australia,Oceania,1967,71.1,11.872264,14526.12465
Australia,Oceania,1972,71.93,13.177,16788.62948
Australia,Oceania,1977,73.49,14.0741,18334.19751
Australia,Oceania,1982,74.74,15.1842,19477.00928
Australia,Oceania,1987,76.32,16.257249,21888.88903
Australia,Oceania,1992,77.56,17.481977,23424.76683
Australia,Oceania,1997,78.83,18.565243,26997.93657
Australia,Oceania,2002,80.37,19.546792,30687.75473
Australia,Oceania,2007,81.235,20.434176,34435.36744
Austria,Europe,1952,66.8,6.927772,6137.076492
Austria,Europe,1957,67.48,6.96586,8842.59803
Austria,Europe,1962,69.54,7.129864,10750.72111
Austria,Europe,1967,70.14,7.376998,12834.6024
Austria,Europe,1972,70.63,7.544201,16661.6256
Austria,Europe,1977,72.17,7.56843,19749.4223
Austria,Europe,1982,73.18,7.574613,21597.08362
Austria,Europe,1987,74.94,7.578903,23687.82607
Austria,Europe,1992,76.04,7.914969,27042.01868
Austria,Europe,1997,77.51,8.069876,29095.92066
Austria,Europe,2002,78.98,8.148312,32417.60769
Austria,Europe,2007,79.829,8.199783,36126.4927
Bahrain,Asia,1952,50.939,0.120447,9867.084765
Bahrain,Asia,1957,53.832,0.138655,11635.79945
Bahrain,Asia,1962,56.923,0.171863,12753.27514
Bahrain,Asia,1967,59.923,0.202182,14804.6727
Bahrain,Asia,1972,63.3,0.2308,18268.65839
Bahrain,Asia,1977,65.593,0.29741,19340.10196
Bahrain,Asia,1982,69.052,0.377967,19211.14731
Bahrain,Asia,1987,70.75,0.454612,18524.02406
Bahrain,Asia,1992,72.601,0.529491,19035.57917
Bahrain,Asia,1997,73.925,0.598561,20292.01679
Bahrain,Asia,2002,74.795,0.656397,23403.55927
Bahrain,Asia,2007,75.635,0.708573,29796.04834
Bangladesh,Asia,1952,37.484,46.886859,684.2441716
Bangladesh,Asia,1957,39.348,51.365468,661.6374577
Bangladesh,Asia,1962,41.216,56.839289,686.3415538
Bangladesh,Asia,1967,43.453,62.821884,721.1860862
Bangladesh,Asia,1972,45.252,70.759295,630.2336265
Bangladesh,Asia,1977,46.923,80.428306,659.8772322
Bangladesh,Asia,1982,50.009,93.074406,676.9818656
Bangladesh,Asia,1987,52.819,103.764241,751.9794035
Bangladesh,Asia,1992,56.018,113.704579,837.8101643
Bangladesh,Asia,1997,59.412,123.315288,972.7700352
Bangladesh,Asia,2002,62.013,135.65679,1136.39043
Bangladesh,Asia,2007,64.062,150.448339,1391.253792
Belgium,Europe,1952,68.0,8.730405,8343.105127
Belgium,Europe,1957,69.24,8.989111,9714.960623
Belgium,Europe,1962,70.25,9.2184,10991.20676
Belgium,Europe,1967,70.94,9.5565,13149.04119
Belgium,Europe,1972,71.44,9.7091,16672.14356
Belgium,Europe,1977,72.8,9.8218,19117.97448
Belgium,Europe,1982,73.93,9.856303,20979.84589
Belgium,Europe,1987,75.35,9.8702,22525.56308
Belgium,Europe,1992,76.46,10.045622,25575.57069
Belgium,Europe,1997,77.53,10.199787,27561.19663
Belgium,Europe,2002,78.32,10.31197,30485.88375
Belgium,Europe,2007,79.441,10.392226,33692.60508
Benin,Africa,1952,38.223,1.738315,1062.7522
Benin,Africa,1957,40.358,1.925173,959.6010805
Benin,Africa,1962,42.618,2.151895,949.4990641
Benin,Africa,1967,44.885,2.427334,1035.831411
Benin,Africa,1972,47.014,2.761407,1085.796879
Benin,Africa,1977,49.19,3.168267,1029.161251
Benin,Africa,1982,50.904,3.641603,1277.897616
Benin,Africa,1987,52.337,4.243788,1225.85601
Benin,Africa,1992,53.919,4.981671,1191.207681
Benin,Africa,1997,54.777,6.06608,1232.975292
Benin,Africa,2002,54.406,7.026113,1372.877931
Benin,Africa,2007,56.728,8.078314,1441.284873
Bolivia,Americas,1952,40.414,2.883315,2677.326347
Bolivia,Americas,1957,41.89,3.211738,2127.686326
Bolivia,Americas,1962,43.428,3.593918,2180.972546
Bolivia,Americas,1967,45.032,4.040665,2586.886053
Bolivia,Americas,1972,46.714,4.565872,2980.331339
Bolivia,Americas,1977,50.023,5.079716,3548.097832
